id,entity,label,text
11656,Verizon,Positive,Remote working and an increase in cloud-based data is spurring cyber-attacks: Today sees the publication of the Verizon Business 2020 Data Breach Investigations Report which shows that network security is even more important ... dlvr.it/RX3fdK EXETLOS
9769,PlayStation5(PS5),Positive,I actually quite like the design of the ps5. It truly feels like the next generation of a console rather than just being a bulkier box with more power
7021,johnson&johnson,Neutral,"New York charges Johnson & Johnson with insurance fraud over opioid claims

pageone.ng/2020/09/17/new…

$JNJ"
2567,Borderlands,Neutral,Chris loves me in borderlands one and two.
7463,LeagueOfLegends,Neutral,Check out my video! #LeagueofLegends | Captured by #Outplayed #2020alienwaregames pic.twitter.com/X6kqEW08hw
8821,Nvidia,Neutral,"Amazing deal for you!

Lenovo Legion Y540 9th Gen Intel Core i5 15.6 inch FHD Gaming Laptop (8GB/512GB SSD/NVIDIA GTX 1650 4GB Graphics/Windows 10/Black/2.3Kg),81SY00CKIN for just Rs. 69990.0 from Amazon

Shop Now!
ekaro.in/enkr2020091846… https://t.co/wG6Qt6d7fs"
1154,AssassinsCreed,Positive,[PS4] | Assassins Creed Syndicate First Playthrough | Positive Vibes | Road To 800 Followers | live at twitch.tv/xklausmikaelso…
7782,MaddenNFL,Negative,@EAMaddenNFL servers down?
3590,Facebook,Irrelevant,@SpeakerPelosi this is VERY INTERESTING 🧐
7433,LeagueOfLegends,Neutral,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ShopAngryKitty #poshmark #fashion #style #shopmycloset #pier1 #leagueoflegends: posh.mk/7ZpkTUiSf9 https://t.co/pPGBdxFVm6
2671,Borderlands,Negative,"April 30 until now, for no apparent reason, BL3 just can't connect to SHiFT at all. What's going on here? I've submitted a ticket 2 days ago to Gearbox but still no respond. Please help. @Borderlands @SHiFTstatus @GearboxOfficial"
9857,PlayStation5(PS5),Positive,oooooh shit i think my motherboard is already compatible
4902,GrandTheftAuto(GTA),Irrelevant,Wtf does he think he's living in GTA or something
2734,Borderlands,Positive,surprise i still love #borderlands ' jack pic.twitter.com/hAuwN4M4pS
7393,LeagueOfLegends,Positive,No i like u motherfucker now kiss me
3204,Facebook,Neutral,"Donald Trump Jr. - China Lied, People Died: Inside China's Death Labs | Facebook facebook.com/DonaldJTrumpJr…"
6267,FIFA,Negative,Pissing people off in FIFA and on twitter 😭😭😭
7065,johnson&johnson,Irrelevant,Zombies. Calling it now. 2020 aint over fucking us
2952,Dota2,Neutral,Making crappy @Immortals til treasure 3 day 1 redd.it/itorke #dota2 https://t.co/BF3iRrkfzB
8566,NBA2K,Neutral,BITCH ASS LEGEND VIP’D MY LITTLE BROTHER ON OUR 2 GAME WIN STREAK SMFH @Ronnie2K @NBA2K pic.twitter.com/GdS3KN9jVj
12991,Xbox(Xseries),Negative,It may look like a WiFi router but design wise it looks better than the Xbox series X. I think it’s unique and slick. I like it imo. You’re lucky that you haven’t gone bald yet 😈
7456,LeagueOfLegends,Neutral,"West had a bit of hope for a good playoff finish but it’s slowly dying with @G2esports getting worse with every game. At least NA is getting a few wins )
#LeagueOfLegends #Worlds2020 #lolesports #LCS #LEC"
6019,FIFA,Negative,Switzerland opens criminal case against FIFA boss Infantino scooplive.org/switzerland-op…
9393,Overwatch,Irrelevant,Today has been the most fun I’ve had watching and interacting with Overwatch League in a long time.
12509,WorldOfCraft,Neutral,"Team JerseyBoys is now also represented on Twitch.

Welcome @chucky_CSGO  

Our chef of confidence, will offer you content from various games like World Of Warcraft, CS:GO or Valorant on Twitch. 

Click here for the Twitch Channel: tinyurl.com/y5gm9h74

#jerseyboys #twitch https://t.co/OwimJcs4uJ"
4710,Google,Negative,"@AndroidDev I've just noticed an issue while upgrading Android Gradle Plugin from 3.5.0 to 3.6.3, the google compile-testing library is crashing when retrieving resources.

An example and more details are available there:
github.com/glureau/AGP_3_…

Is it something new?"
11086,TomClancysGhostRecon,Negative,"@GhostRecon @GhostRecon_UK Your PvP server doesn't work... Nobody can connect. And pls delete the scope for drones. They're useless und block syringes...
#Bugpoint #Brokenpoint pic.twitter.com/QkTNee6DVZ"
3980,Cyberpunk2077,Positive,This looks like a poster for a 90s action movie and I love every damn bit of it
5354,Hearthstone,Neutral,"#ProtectorCup #Hearthstone

The Protector Cup #1 is over!
Here are your top 3:

🥇@Sergio932HS
🥈@spectro_cs
🥉@cristianhs30

Thanks @caturix_tribe for providing us with these amazing prizes and we will see you soon with the Protector Cup #2!

GGs to everyone that participated! pic.twitter.com/xaPIPRHoFI"
4621,Google,Neutral,"BTC scammers breach Twitter accounts of Bill Gates, Obama, Google, Apple, Uber dlvr.it/Rbkcdk"
4274,CS-GO,Positive,we've been crushing CS:GO over at @windailysports ! Congrats @jack94024127 💪🏻
1989,CallOfDutyBlackopsColdWar,Irrelevant,"“git gud 5head” -sniping community, probably"
134,Amazon,Neutral,#QuizTimeMoringsWithAmazon I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in/game/share/gRE…
4096,CS-GO,Neutral,1.7 million viewers? wtf? and cs:go has more than minecraft and fortnite? seriously pic.twitter.com/NsBHo8i85Z
8244,Microsoft,Positive,"Delivered by our own in-house team, Microsoft Dynamics 365 enhances productivity and increases agility so your organisation can adapt quickly to change.

Get in touch today to find out more: razorblue.com/contact-us/ https://t.co/TTN9jmgAaj"
8800,NBA2K,Negative,@NBA2K @2KSupport @LD2K @Beluba  can y’all please fix this !!! pic.twitter.com/yTZ3HA6Xtf
10909,TomClancysGhostRecon,Negative,enough of this DLC Bullshit just give us a new Splinter Cell Video Game 🤦🏾‍♂️🤦🏾‍♂️
12443,WorldOfCraft,Neutral,I tried to do some of purple invasion stuff tonight but it just turned me into the Sha of Anger. 🤬 So I did mog dungeon runs instead which included a sort of family reunion. 🐉 #bloodelf #hunter #Warcraft #worldofwarcraft #gamer #gaming #gamergirl #screenshot pic.twitter.com/yFoG2NkjTD
5170,GrandTheftAuto(GTA),Irrelevant,"[Dirty-Gaming] GTA RP !  JJ on Tour, hat eine Villa < 3 twitch.tv/p0werflyyy"
11277,TomClancysRainbowSix,Irrelevant,Ok I'm blocking this man's he is on a new level of being
7600,LeagueOfLegends,Irrelevant,":c we are going to miss you in league of legends , but I'm happy for you, I wish best things for you 🥰"
11687,Verizon,Negative,@verizon Can you waive some data overage charges? Been tough for folks out here.
7384,LeagueOfLegends,Positive,League of Legends taught me to come to terms with my own disappointing third novel
397,Amazon,Positive,"#Amazon Best Seller!

Screen Cleaner Kit - Best for LED & LCD TV,...

$19.95

amazon.com/Screen-Cleaner… https://t.co/mrUD2zbLfT"
8719,NBA2K,Negative,"@NBA2K you guys gotta fix the shooting bugs bc EVERYTIME I green people are kicked out . My green animation flickers like crazy before also kicking me out , my stats in park are garbage bc of it"
8179,Microsoft,Positive,"Trust in Technology is Important !
@satyanadella at #MSInspire 
I Love the Boomerang in the Background 😍 #MVPBuzz is Sharing Technology Again and Again with New Features ! It's like a Boomerang with the Community and Microsoft 🚀 pic.twitter.com/sUnTR07x5y"
452,ApexLegends,Positive,"Woohoooo Next #ApexLegends comic is out !!! These are getting so juicy !!! 

youtu.be/RtEUnyYvjU0 https://t.co/h8humm5KF9"
2515,Borderlands,Neutral,"Morning~!!
I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔
Either way a stream today is happening and I'm excited to hang out nonetheless!!
Hope your weekend was well. 💚 :3 pic.twitter.com/X0CrvuK8Pq"
1356,Battlefield,Irrelevant,A ban for Battlefield 4 player YourDaddyyyyyy has occurred SEE DETAILS: bf4db.com/player/ban/363…
11877,Verizon,Neutral,"This comes as Facebook faces major criticism for its inaction over rampant hate and harassment on the platform.

#facebook #markzugerberg #unilever #honda #verizon #cocacola #levistrauss #globalbrands #facebookads #advertisement #advertising #instagram #instagramads #criticism pic.twitter.com/NX77j7ycB5"
7794,MaddenNFL,Negative,#NFLdropEA to ea from me your game is horrible the franchise mode is horrible mut is just a way for children to gamble with there mom's credit card face of the franchise is cheese and horrible and to this point I'd rather play a fan game than madden NFL please drop EA
7800,MaddenNFL,Positive,Would love one @EASPORTS_MUT
714,ApexLegends,Negative,@PlayApex I have problems to buy the battlepass with the new patch
11028,TomClancysGhostRecon,Neutral,"Trippy #GhostReconBreakpoint

store.playstation.com/#!/en-us/tid=C… https://t.co/iohsLhVTYd"
4038,CS-GO,Negative,"Finally played Rainbow Six Siege for the first time... I have to admit, I prefer it over pulling my hair out in CSGO any day."
8857,Nvidia,Positive,Watching NVIDIA position itself as not just a leading hardware manufacturer but also providing meaningful software to consumers is a remarkable thing of beauty. What an incredibly lead company with clear focus and goals. Well done @nvidia.
6540,Fortnite,Positive,happy birthday fortnite
3185,Dota2,Positive,"The professional dota 2 scene is fucking exploding and I completely welcome it.

Get the garbage out."
5121,GrandTheftAuto(GTA),Negative,@RockstarGames how the hell is gta online STILL this fucking broken???
9548,Overwatch,Neutral,Our Chinese #overwatch fans will be sad to learn that the matches in China during February and March and being rescheduled. pic.twitter.com/HvaTCPiEOv
4701,Google,Positive,"lol i was looking for something to listen to that was upbeat for 1998 and the first recommendation was my heart will go on, nice job google"
3293,Facebook,Positive,"@BeverlyCitizen Ronald Bellanti is a resident of Beverly, MA and works for Ground Control, an organization he founded as a drunk driving prevention campaign. He took to Facebook to express deplorably racist and violent views. Please help expose him! pic.twitter.com/78RitUkeM2"
3808,Cyberpunk2077,Positive,this game looks insane wtf
7182,johnson&johnson,Irrelevant,This is dope! Puff is such a great kid.
11382,TomClancysRainbowSix,Positive,Gaming is my hobby and I love it like and follow if your in to Th a same #gamers #gamerguy #RainbowSixSiege #adictition #addiction #gamestar pic.twitter.com/TnPZYm9PVD
8270,Microsoft,Positive,A bullshit excuse by Apple. The real answer is because they can’t get the 30% cut of Microsoft’s subscription.
11894,Verizon,Positive,"Congratulations to our client, Diego Scotti, CMO of @Verizon, on being named an @Adweek Brand Genius. pic.twitter.com/kilCPassn6"
